name,id,principal,agent,date formed,status,type,street,city,state,zip
"LAW OFFICES OF DAVID S. MIGLIORE, LLC",1217660,DAVID MIGLIORE,DAVID S. MIGLIORE,09/23/2016,Active,Domestic Limited Liability Company,75 GATE WAY,HAMDEN,CT,6518
"LAW OFFICES OF DAVID S. TORREY, LLC",1096630,DAVID S. TORREY,DAVID S. TORREY,01/28/2013,Active,Domestic Limited Liability Company,10 SCHOOLHOUSE ROAD,NORFOLK,CT,6058
"LAW OFFICES OF DAVID V. DEROSA, LLC",1212308,DAVID V. DEROSA,DAVID V. DEROSA,07/21/2016,Active,Domestic Limited Liability Company,42 TERRACE AVENUE,NAUGATUCK,CT,6770
"LAW OFFICES OF DAVID W. SALM, LLC",580908,,DAVID W. SALM,01/15/1998,Forfeited,Domestic Limited Liability Company,28 AYRES DR.,STAMFORD,CT,6905
"LAW OFFICES OF DAVIS THOMAS GANIM, LLC",928841,DAVIS THOMAS GANIM,DAVIS THOMAS GANIM,02/21/2008,Active,Domestic Limited Liability Company,"161 EAST AVE., SUITE 104",NORWALK,CT,6851
"LAW OFFICES OF DAVIS W. GANIM, LLC",777592,DAVIS W. GANIM,DAVIS W. GANIM,03/09/2004,Active,Domestic Limited Liability Company,2192 MAIN STREET,STRATFORD,CT,6615
LAW OFFICES OF DEAN L. LEWIS LLC,730500,DEAN L. LEWIS,DEAN L. LEWIS,11/04/2002,Active,Domestic Limited Liability Company,2 TERRACE PLACE,DANBURY,CT,6810
"LAW OFFICES OF DEBORAH GROGINS, LLC",664756,,DEBORAH GROGINS,10/30/2000,Active,Domestic Limited Liability Company,201 CENTER STREET,WEST HAVEN,CT,6516
"LAW OFFICES OF DEBORAH L. MOORE, LLC",1322658,DEBORAH MOORE,CHRISTOPHER ANDERSEN,09/26/2019,Active,Domestic Limited Liability Company,3000 WHITNEY AVE #281,HAMDEN,CT,6518
"LAW OFFICES OF DEBORAH R. EISENBERG, LLC",806205,DEBORAH R. EISENBERG,BRUCE G. TEMKIN,01/03/2005,Active,Domestic Limited Liability Company,2230 MAIN STREET,GLASTONBURY,CT,6033
"LAW OFFICES OF DEBRA B. MARINO, LLC",791495,DEBRA B. MARINO,"VINCENT M. MARINO, ESQ.",07/23/2004,Active,Domestic Limited Liability Company,657 ORANGE CENTER ROAD,ORANGE,CT,6477
"LAW OFFICES OF DENISE A. MENDEZ, LLC",732016,DENISE A. MENDEZ,DENISE A. MENDEZ,11/21/2002,Dissolved,Domestic Limited Liability Company,"49 LEAVENWORTH ST., SUITE 200",WATERBURY,CT,6702
LAW OFFICES OF DENISE A. MORTATI LLC,1122734,DENISE A. MORTATI,DENISE A. MORTATI,10/28/2013,Active,Domestic Limited Liability Company,122 LOUNSBURY ROAD,TRUMBULL,CT,6611
"LAW OFFICES OF DENISE MARTINO PHELAN, LLC",972452,DENISE MARTINO PHELAN,DENISE MARTINO PHELAN,05/20/2009,Active,Domestic Limited Liability Company,129 RAMPART DRIVE,GLASTONBURY,CT,6033
"LAW  OFFICES OF DENNIS P. POWERS, P.C.",1206212,DENNIS POWERS,SECRETARY OF THE STATE OF CONNECTICUT,05/06/2016,Active,Foreign Stock Corporation,"1391 MAIN STREET, #806",SPRINGFIELD,MA,1103
"LAW OFFICES OF DENNIS R. FERGUSON, LLC",979139,DENNIS R. FERGUSON,PATRICK RYAN,08/03/2009,Active,Domestic Limited Liability Company,29 SOUTH MAIN STREET,WEST HARTFORD,CT,6107
"LAW OFFICES OF DENNIS W. DRISCOLL, LLC",726893,DENNIS W. DRISCOLL,DENNIS W. DRISCOLL,09/25/2002,Active,Domestic Limited Liability Company,"234 CHURCH STREET, 7TH FL.",NEW HAVEN,CT,6510
"LAW OFFICES OF D. GREGORY TIRONE, LLC",634476,,D. GREGORY TIRONE,11/05/1999,Active,Domestic Limited Liability Company,"345 MONROE TPKE, P.O. BOX 932",MONROE,CT,6468
LAW OFFICES OF DICKERSON M DOWNING LLC,1176069,DICKERSON M. DOWNING,C T CORPORATION SYSTEM,05/27/2015,Active,Domestic Limited Liability Company,"243 TRESSER BOULEVARD, 17TH FLOOR",STAMFORD,CT,6901
"LAW OFFICES OF DONAL A. CAHILL, JR., L.L.C.",604234,,"ATTY. DONAL A. CAHILL, JR.",10/09/1998,Active,Domestic Limited Liability Company,327 CEDAR KNOLL DRIVE,STRATFORD,CT,6614
"LAW OFFICES OF DONALD M. BROWN, L.L.C.",767929,"DONALD M. BROWN, ESQ.","DONALD M. BROWN, ESQ.",12/09/2003,Dissolved,Domestic Limited Liability Company,19 HETTIEFRED ROAD,GREENWICH,CT,6831
"LAW OFFICES OF DONNA CASTRONOVO, P.C.",282896,"DONNA CASTRONOVO, YOLANDA CASTRONOVO",DONNA CASTRONOVO,01/28/1993,Dissolved,Domestic Stock Corporation,1081 EAST PUTNAM AVE.,RIVERSIDE,CT,6878
"LAW OFFICES OF DONNA D. CONVICER, LLC",961947,DONNA D. CONVICER,DONNA D CONVICER,02/04/2009,Active,Domestic Limited Liability Company,2389 MAIN ST,GLASTONBURY,CT,6033
"LAW OFFICES OF DONNA D. VINCENTI, ATTORNEY AT LAW, LLC",973122,DONNA D. VINCENTI,DONNA D. VINCENTI,05/27/2009,Active,Domestic Limited Liability Company,12 PORTER STREET,LAKEVILLE,CT,6039
"LAW OFFICES OF DONNA L. BUTTLER, LLC",1250086,DONNA L. BUTTLER,"MURPHY, LAUDATI, KIEL, BUTTLER & RATTIGAN, LLC",09/18/2017,Active,Domestic Limited Liability Company,43 WEST MAIN STREET,AVON,CT,6001
LAW OFFICES OF DONNA L. WRIGHT LLC,644276,,DONNA L. WRIGHT,02/23/2000,Active,Domestic Limited Liability Company,182 WILLARD STREET,NEW HAVEN,CT,6515
LAW OFFICES OF DONOVAN W. RILEY LLC,698438,DONOVAN W. RILEY,LAW OFFICES OF ROBERT E. ARNOLD LLC,12/10/2001,Active,Domestic Limited Liability Company,3000 WHITNEY AVENUE #316,HAMDEN,CT,6518
"LAW OFFICES OF DORI-ELLEN S. FELTMAN, LLC",1046966,DORI-ELLEN S. FELTMAN,DORI-ELLEN S. FELTMAN,08/26/2011,Active,Domestic Limited Liability Company,246 POST ROAD EAST,WESTPORT,CT,6880
"LAW OFFICES OF DOUGLAS R. PENN, LLC",993338,DOUGLAS R. PENN,DOUGLAS R. PENN,01/15/2010,Active,Domestic Limited Liability Company,1266 E MAIN STREET SUITE 700R,STAMFORD,CT,6902
"LAW OFFICES OF EDWARD D. JACOBS, LLC",694390,EDWARD D JACOBS,"DAVID WAYNE WINTERS, ESQUIRE",10/24/2001,Dissolved,Domestic Limited Liability Company,91 WILLIAM STREET,NEW HAVEN,CT,6511
"LAW OFFICES OF EDWARD F. CZEPIGA II, LLC",1128089,EDWARD CZEPIGA,EDWARD F. CZEPIGA II,12/20/2013,Active,Domestic Limited Liability Company,1057 BROAD STREET,BRIDGEPORT,CT,6604
"LAW OFFICES OF EDWARD F. SPINELLA, ESQ., LLC",953387,"EDWARD F. SPINELLA, ESQ",EDWARD F. SPINELLA,10/22/2008,Active,Domestic Limited Liability Company,15 MULLEN RD,ENFIELD,CT,6082
"LAW OFFICES OF EDWARD J. GAVIN, LLC",1228952,EDWARD J. GAVIN,JOHN K. COHANE,02/02/2017,Active,Domestic Limited Liability Company,"1087 BROAD STREET, FIRST FLOOR",BRIDGEPORT,CT,6604
"LAW OFFICES OF EDWARD N. LERNER, LLC",630567,EDWARD N. LERNER,EDWARD N. LERNER,09/20/1999,Dissolved,Domestic Limited Liability Company,112 PROSPECT STREET,STAMFORD,CT,6901
LAW OFFICES OF EDWARD NUSBAUM P.C.,1255552,,EDWARD NUSBAUM,11/15/2017,Active,Domestic Stock Corporation,,,,
"LAW OFFICES OF EDWARD O'BRIEN, P.C. THE",276295,,EDWARD D O'BRIEN,07/09/1992,Forfeited,Domestic Stock Corporation,38 WOODLAND ST,HARTFORD,CT,6105
"LAW OFFICES OF EDWIN CAMACHO, LLC",973118,EDWIN CAMACHO,"EDWIN CAMACHO, ESQ.",05/27/2009,Dissolved,Domestic Limited Liability Company,54 1/2 SOUTH MAIN STREET,NORWALK,CT,6854
"LAW OFFICES OF EILEEN M. PATE, LLC",708802,EILEEN PATE TWEDDLE,HERBERT TWEDDLE,03/15/2002,Active,Domestic Limited Liability Company,151 RAILROAD AVENUE,GREENWICH,CT,6830
"LAW OFFICES OF ELAINE B. COLEMAN, P.C.",216816,,ELAINE B. COLEMAN,04/21/1988,Dissolved,Domestic Stock Corporation,1005-A FARMINGTON AVENUE,WEST HARTFORD,CT,6107
"LAW OFFICES OF ELAINE RUBINSON, LLC",912404,ELAINE RUBINSON,ELAINE RUBINSON,09/13/2007,Active,Domestic Limited Liability Company,799 SILVER LANE 2ND FLOOR,TRUMBULL,CT,6611
"LAW OFFICES OF ELANA C. BLOOM, LLC",1213074,ELANA BLOOM,ELANA C. BLOOM,07/29/2016,Active,Domestic Limited Liability Company,"6 BERKELEY PLACE, 5 BERKELEY PLACE",WESTPORT,CT,6880
"LAW OFFICES OF ELIZABETH A. EDWARDS, LLC",805324,ELIAZBETH A. EDWARDS,ELIZABETH A EDWARDS,12/16/2004,Active,Domestic Limited Liability Company,462 DANBURY ROAD,WILTON,CT,6897
LAW OFFICES OF ELIZABETH A. LATIF PLLC,1246019,ELIZABETH LATIF,ELIZABETH LATIF,08/01/2017,Active,Domestic Limited Liability Company,124 PENN DRIVE,WEST HARTFORD,CT,6119
LAW OFFICES OF ELIZABETH LUIZ MCKEOWN LLC,1219944,ELIZABETH LUIZ MCKEOWN,ELIZABETH LUIZ MCKEOWN,10/24/2016,Active,Domestic Limited Liability Company,14 RIDGEWOOD ROAD,AVON,CT,6001
"LAW OFFICES OF ELLEN A. MORGAN, LLC",1120984,ELLEN A. MORGAN,ELLEN ANDERSON MORGAN,10/11/2013,Active,Domestic Limited Liability Company,"865 RIVER ROAD, SUITE 303",SHELTON,CT,6484
"LAW OFFICES OF ELLEN BROWN, LLC",1036968,ELLEN C. BROWN,PAUL S. GIANACOPLOS,05/05/2011,Dissolved,Domestic Limited Liability Company,4 FORT HILL ROAD,GROTON,CT,6340
"LAW OFFICES OF ELLEN C. BROWN, LLC",676970,ELLEN C BROWN,PETER S. GIANACOPLOS,03/23/2001,Dissolved,Domestic Limited Liability Company,4 FORT HILL ROAD,GROTON,CT,6340
"LAW OFFICES OF ELLERY E. PLOTKIN, LLC",821161,ELLERY E. PLOTKIN,ELLERY E. PLOTKIN,05/11/2005,Active,Domestic Limited Liability Company,"777 SUMMER ST., 2ND FLR.",STAMFORD,CT,6901
"LAW OFFICES OF ELYSA L. GRABER-LIPPERMAN, LLC",971347,ELYSA L GRABER-LIPPERMAN,ELYSA L GRABER LIPPERMAN,05/12/2009,Active,Domestic Limited Liability Company,"41 CROSSROADS PLAZA, #155, #155",WEST HARTFORD,CT,6117
"LAW OFFICES OF EMILY S. LUCIBELLO, LLC",1128921,EMILY S. LUCIBELLO,"EMILY S. LUCIBELLO, ESQ.",01/10/2014,Active,Domestic Limited Liability Company,26 BROAD STREET,MILFORD,CT,6460
"LAW OFFICES OF EMMET P. HIBSON, JR., LLC",757811,"EMMET P. HIBSON, JR.","EMMET P. HIBSON, JR.",08/20/2003,Active,Domestic Limited Liability Company,205 GULF STREET,MILFORD,CT,6460
"LAW OFFICES OF ERICA A. WIKSTROM, LLC",873064,ERICA A. WIKSTROM,ERICA A. WIKSTROM,09/18/2006,Active,Domestic Limited Liability Company,31 CHERRY ST. #105,MILFORD,CT,6460
"LAW OFFICES OF ERIC R. LOPEZ, P.C.",621059,ERIC R. LOPEZ,ERIC R. LOPEZ,05/14/1999,Dissolved,Domestic Stock Corporation,99 CHERRY STREET 2ND FLOOR,MILFORD,CT,6460
"LAW OFFICES OF ERNEST ARBIZO, LLC",750727,ERNEST ARBIZO,ELAINE ARBIZO,06/04/2003,Active,Domestic Limited Liability Company,"1700 BEDFORD ST., SUITE 203",STAMFORD,CT,6905
"LAW OFFICES OF ERNEST M. LORIMER, LLC",1209300,ERNEST LORIMER,ERNEST M. LORIMER,06/24/2016,Active,Domestic Limited Liability Company,191 POST ROAD WEST,WESTPORT,CT,6880
LAW OFFICES OF EWELINA CHRZAN LLC,1294162,EWELINA,EWELINA CHRZAN,12/25/2018,Active,Domestic Limited Liability Company,110 PARISH DRIVE,KENSINGTON,CT,6037
"LAW OFFICES OF FELICIA B. WATSON, PLLC",1264860,FELICIA B. WATSON,FELICIA B. WATSON,02/23/2018,Active,Domestic Limited Liability Company,10 SPRUCE STREET,SOUTHPORT,CT,6890
LAW OFFICES OF FIONA W DE RAVINEER P.C.,1194923,,TRACY VARILLA,01/06/2016,Active,Domestic Stock Corporation,,,,
"LAW OFFICES OF FOLGER BRINK, L.L.C.",540460,,FOLGER BRINK,06/24/1996,Forfeited,Domestic Limited Liability Company,399 EAST PUTNAM AVENUE,COS COB,CT,6807
"LAW OFFICES OF FRANCIS J. MCCABE, P.C.",1050141,,FRANCIS J. MCCABE,10/04/2011,Active,Domestic Stock Corporation,,,,
"LAW OFFICES OF FRANCIS P. CIPRIANO, LLC",1142911,FRANCIS P. CIPRIANO,FRANCIS P. CIPRIANO,05/05/2014,Active,Domestic Limited Liability Company,1220 WHITNEY AVE,HAMDEN,CT,6517
"LAW OFFICES OF FRANK NAPOLITANO, LLC",756745,FRANK NAPOLITANO,FRANK NAPOLITANO,08/06/2003,Active,Domestic Limited Liability Company,"40 THUNDER MOUNTAIN RD, 40 THUNDER MOUNTAIN ROAD",GREENWICH,CT,6831
"LAW OFFICES OF FRANK N. PELUSO, PROFESSIONAL CORPORATION",123412,"CHARLES P. PELUSO II, FRANK N. PELUSO",FRANK N. PELUSO ESQ,10/13/1981,Active,Domestic Stock Corporation,309 GREENWICH AVE.,GREENWICH,CT,6830
"LAW OFFICES OF FREDERICK A. DLUGOKECKI, LLC",807805,FREDERICK A. DLUGOKECKI,FREDERICK A. DLUGOKECKI,01/13/2005,Dissolved,Domestic Limited Liability Company,175 CHURCH STREET,NAUGATUCK,CT,6770
"LAW OFFICES OF FREDERICK F. WARD, II. LLC",699564,FREDERICK F. WARD II,"FREDERICK F. WARD, II",12/18/2001,Active,Domestic Limited Liability Company,"433 SOUTH MAIN ST, SUITE 226",WEST HARTFORD,CT,6110
"LAW OFFICES OF FREDERICK M. VOLLONO, LLC",1136964,FREDERICK M. VOLLONO,FREDERICK M. VOLLONO,03/18/2014,Active,Domestic Limited Liability Company,"97 BROAD STREET, SUITE C",MIDDLETOWN,CT,6457
"LAW OFFICES OF F. WOODWARD LEWIS, JR., LLC",768697,"F. WOODWARD LEWIS, JR.",ERIC WOODWARD LEWIS,12/18/2003,Dissolved,Domestic Limited Liability Company,439 MAIN ST,YALESVILLE,CT,6492
"LAW OFFICES OF GAIL S. SHAULYS, LLC",1005454,GAIL S. SHAULYS,GAIL S. SHAULYS,05/20/2010,Dissolved,Domestic Limited Liability Company,333 BASSETT RD,NORTH HAVEN,CT,6473
"LAW OFFICES OF GARRETT S. FLYNN, LLC",729569,GARRETT S. FLYNN,GARRETT S. FLYNN,10/25/2002,Active,Domestic Limited Liability Company,"10 NORTH MAIN STREET, SUITE 221",WEST HARTFORD,CT,6107
"LAW OFFICES OF GARY I. COHEN, P.C.",551089,"ELIZABETH LOPEZ, GARY I. COHEN","DAVID R. SCHAEFER, ESQ.",01/02/1997,Active,Domestic Stock Corporation,"1100 SUMMER STREET, 3RD FLOOR",STAMFORD,CT,6905
"LAW OFFICES OF GARY I. COHEN, P.C.",67442,,GARY I COHEN ESQ,11/07/1977,Dissolved,Domestic Stock Corporation,"GARY I COHEN ESQ, 50 LEAVENWORTH ST",WATERBURY,CT,6721
"LAW OFFICES OF GARY M. BEACH, LLC",761660,GARY M. BEACH,"MICHAEL G. MILAZZO, ESQ",10/01/2003,Active,Domestic Limited Liability Company,"33 WHITNEY AVENUE, 3RD FLOOR",NEW HAVEN,CT,6510
"LAW OFFICES OF GARY W. STEGINA, LLC",1038105,GARY W. STEGINA,GARY W. STEGINA,05/17/2011,Active,Domestic Limited Liability Company,48 BUCK HILL RD.,MADISON,CT,6443
LAW OFFICES OF GENE BOLMARCICH LLC,1237585,GENE BOLMARCICH,GENE BOLMARCICH,05/01/2017,Dissolved,Domestic Limited Liability Company,215 STERLING DRIVE,NEWINGTON,CT,6111
"LAW OFFICES OF GENE COHEN, LLC",704644,GENE COHEN,GENE COHEN,02/06/2002,Active,Domestic Limited Liability Company,606 FARMINGTON AVENUE,HARTFORD,CT,6105
"LAW OFFICES OF GEORGE B. BICKFORD, LLC",974966,GEORGE B. BICKFORD,GEORGE B. BICKFORD,06/16/2009,Active,Domestic Limited Liability Company,12 CHURCH RD.,EAST GRANBY,CT,6026
"LAW OFFICES OF GEORGE C. HECK, ESQ., LLC",636712,GEORGE CALLENDINE HECK,GEORGE C. HECK,12/06/1999,Active,Domestic Limited Liability Company,220 AIRLINE ROAD,CLINTON,CT,6413
"LAW OFFICES OF GEORGE P. JUDD, LLC",1024647,GEORGE P. JUDD,DANIEL A. GREGOR,12/30/2010,Active,Domestic Limited Liability Company,612 PENFIELD ROAD,FAIRFIELD,CT,6824
LAW OFFICES OF GEORGETTE PERIMENIS INC.,907712,GEORGETTE PERIMENIS,"LAC ASSOCIATES, LLC",07/30/2007,Active,Domestic Stock Corporation,"800 SUMMER ST., STE. 311",STAMFORD,CT,6901
"LAW OFFICES OF GERALD M BEAUDOIN, LLC",922981,"GERALD M. BEAUDOIN, ESQ.","GERALD M. BEAUDOIN, ESQ.",12/28/2007,Active,Domestic Limited Liability Company,"50 WESTON STREET, SUITE G, P.O. BOX 358",HARTFORD,CT,6141
LAW OFFICES OF GERALD M. GALLANT LLC,757647,GERALD M. GALLANT,GERALD M. GALLANT,08/18/2003,Active,Domestic Limited Liability Company,375 BRIDGEPORT AVENUE,SHELTON,CT,6484
"LAW OFFICES OF GERALD S. SACK, LLC",813102,GERALD S. SACK,GERALD S. SACK,02/28/2005,Active,Domestic Limited Liability Company,836 FARMINGTON AVE STE 109,W. HARTFORD,CT,6119
"LAW OFFICES OF GERALYN F. SCHMITT, LLC",636019,GERALYN F. SCHMITT,"GERALYN F. SCHMITT, ESQ.",11/26/1999,Active,Domestic Limited Liability Company,"214 BARKLEDGE DRIVE, 214 BARKLEDGE DR, 214 BARKLEDGE DR",NEWINGTON,CT,6111
"LAW OFFICES OF GERARD P. SMITH, LLC",758613,GERARD P. SMITH,GERARD P. SMITH,09/02/2003,Active,Domestic Limited Liability Company,"24 GOODWIN COURT, PO BOX 365",THOMASTON,CT,6787
"LAW OFFICES OF GINA A. PASQUINI, LLC",1199259,"GINA A PASQUINI, ESQ",GINA A PASQUINI,03/03/2016,Active,Domestic Limited Liability Company,"19 LUDLOW RD, STE 201",WESTPORT,CT,6880
"LAW OFFICES OF GISELA CHAVEZ-GARCIA, LLC",958368,GISELA  CHAVEZ-GARCIA,"LAC ASSOCIATES, LLC",12/22/2008,Active,Domestic Limited Liability Company,"137 HOLLOW TREE RIDGE ROAD, APT. 2122",DARIEN,CT,6820
"LAW OFFICES OF GLENN M. GORDON, LLC",760066,GLENN M. GORDON,"SHEEHAN, REMBISH, LASARACINA & BIZZARRO, LLC",09/15/2003,Dissolved,Domestic Limited Liability Company,228 SCOTLAND ROAD,NORWICH,CT,6360
"LAW OFFICES OF GLENN POWELL & ASSOCIATES, LLC",776979,GLENN POWELL,GLENN POWELL,03/08/2004,Active,Domestic Limited Liability Company,49 SUNSET TERRACE,COLLINSVILLE,CT,6019
"LAW OFFICES OF GRACE LIM-AYRES, LLC",1209548,SYUNGHAE GRACE LIM-AYRES,SYUNGHAE GRACE LIM-AYRES,06/27/2016,Dissolved,Domestic Limited Liability Company,"11826 DOROTHY ST., APT 202",LOS ANGELES,CA,90049
"LAW OFFICES OF GRACE L ZUR, LLC",711406,GRACE L ZUR,GRACE L ZUR,04/09/2002,Dissolved,Domestic Limited Liability Company,37 FRANKLIN STREET,WESTPORT,CT,6880
"LAW OFFICES OF GREG C. MOGEL, LLC",1052759,GREG C MOGEL,GREG C MOGEL,10/28/2011,Active,Domestic Limited Liability Company,"41 NORTH MAIN STREET, SUITE 204, SUITE 204",WEST HARTFORD,CT,6107
"LAW OFFICES OF GREG GAGNE, LLC",857755,GREG GAGNE,GREG GAGNE,04/26/2006,Active,Domestic Limited Liability Company,33 WOLCOTT ROAD,WOLCOTT,CT,6716
"LAW OFFICES OF GREGG W. WAGMAN, L.L.C.",677503,GREGG W WAGMAN,GREGG W. WAGMAN,03/29/2001,Dissolved,Domestic Limited Liability Company,216 BROAD STREET,NEW LONDON,CT,6320
"LAW OFFICES OF GREGORY ALLEN, P.C.",946446,GREGORY A. ALLEN,GREGORY A. ALLEN,08/08/2008,Active,Domestic Stock Corporation,"5 NORTH MAIN STREET, SUITE 5",WALLINGFORD,CT,6492
"LAW OFFICES OF GREGORY G. ST. JOHN, LLC",664117,GREGORY G. ST. JOHN,GREGORY G. ST. JOHN,10/20/2000,Active,Domestic Limited Liability Company,21 STATE STREET,WATERBURY,CT,6702
"LAW OFFICES OF GREGORY P. CARNESE, ESQ., LLC",636711,GREGORY PAUL CARNESE,GREGORY P. CARNESE,12/06/1999,Active,Domestic Limited Liability Company,44 LYME STREET,OLD LYME,CT,6371
"LAW OFFICES OF GREGORY R. SHETTLE, LLC",805648,GREGORY R. SHETTLE,GREGORY R. SHETTLE,12/21/2004,Active,Domestic Limited Liability Company,124 HEBRON AVENUE,GLASTONBURY,CT,6033
"LAW OFFICES OF HEATH D. HARTE, LLC",1112505,HEATH D. HARTE,HEATH D. HARTE,07/10/2013,Active,Domestic Limited Liability Company,"1700 BEDFORD STREET, SUITE 102",STAMFORD,CT,6905
"LAW OFFICES OF HECTOR A. RIVERA, JR., LLC",675287,HECTOR A. RIVERA JR.,"HECTOR A. RIVERA, JR.",03/07/2001,Dissolved,Domestic Limited Liability Company,"THE BEECHES, 816 BROAD STREET, SUITE 10",MERIDEN,CT,6450
"LAW OFFICES OF HEIDI E. OPINSKY, LLC",1213136,HEIDI E. OPINSKY,HEIDI E. OPINSKY,08/01/2016,Active,Domestic Limited Liability Company,"112 SOUTHFIELD AVENUE, SUITE 201",STAMFORD,CT,6902
"LAW OFFICES OF HELEN R. KONE, P.C.",197779,"HELEN R. KONE, MICHAEL A. KONE",HELEN R. KONE,03/11/1987,Forfeited,Domestic Stock Corporation,10 NORTH MAIN ST.,WEST HARTFORD,CT,6107
"LAW OFFICES OF HERMINE HAYES-KLEIN, LLC",759657,HERMINE HAYES-KLEIN,HERMINE HAYES-KLEIN,09/11/2003,Active,Domestic Limited Liability Company,144 NORTONTOWN RD,GUILFORD,CT,6437
LAW OFFICES OF HOLLY ABERY-WETSTONE LLC,668809,,HOLLY ABERY-WETSTONE,12/18/2000,Active,Domestic Limited Liability Company,784 FARMINGTON AVENUE,WEST HARTFORD,CT,6119
"LAW OFFICES OF HOLLY G. WHEELER, PLLC",1343526,HOLLY G. WHEELER,HOLLY G. WHEELER,05/07/2020,Active,Domestic Limited Liability Company,51 COUNTRY WAY,MADISON,CT,6443
"LAW OFFICES OF HOWARD A. LAWRENCE, L.L.C.",623037,,EMILY A. ALDRICH,06/09/1999,Active,Domestic Limited Liability Company,ONE TRUMBULL STREET,NEW HAVEN,CT,6511
"LAW OFFICES OF HYACINTH DOUGLAS-BAILEY, LLC",605627,HYACINTH DOUGLAS-BAILEY,HYACINTH DOUGLAS-BAILEY,10/29/1998,Active,Domestic Limited Liability Company,"135 BURNSIDE AVE., SUITE B-3",EAST HARTFORD,CT,6108
"LAW OFFICES OF IAN E. BJORKMAN, LLC",925330,"IAN BJORKMAN, ESQ.","IAN E. BJORKMAN, ESQ.",01/17/2008,Active,Domestic Limited Liability Company,"900 CHAPEL STREET, SUITE 621, SUITE 621",NEW HAVEN,CT,6510
"LAW OFFICES OF INGEMAR HEREDIA, LLC",1125636,INGEMAR HEREDIA,INGEMAR HEREDIA,12/03/2013,Active,Domestic Limited Liability Company,"SOUNDVIEW PLAZA, 1266 E. MAIN ST, SUITE 700 R",STAMFORD,CT,6902
"LAW OFFICES OF IRA S. MAYO, LLC",740609,IRA S. MAYO,LINDA N. MAYO,02/20/2003,Active,Domestic Limited Liability Company,62 COOK ST.,TORRINGTON,CT,6790
"LAW OFFICES OF IRENE C. OLSZEWSKI, LLC",728621,IRENE C. OLSZEWSKI,IRENE C. OLSZEWSKI,10/15/2002,Dissolved,Domestic Limited Liability Company,"100 MAIN STREET, SUITE 200",EAST HARTFORD,CT,6118
"LAW OFFICES OF JACK O'DONNELL, LLC",640419,JOHN R. O'DONNELL,"MARK I. HARRISON, ESQ.",01/12/2000,Active,Domestic Limited Liability Company,683 STATE STREET,NEW HAVEN,CT,6511
LAW OFFICES OF JACOBS & SODIPO LLC,817057,"HENRY JACOBS, JOHN SODIPO",JOHN A SODIPO,04/06/2005,Active,Domestic Limited Liability Company,120 OXFORD STREET,HARTFORD,CT,6105
"LAW OFFICES OF JACQUELINE A. SEIGEL, LLC",808795,JACQUELINE A. SEIGEL,MARC A. SEIGEL,01/21/2005,Active,Domestic Limited Liability Company,"207 FARM MEADOW LN, -- NOT ENTERED --, -- NOT ENTERED --",CHESHIRE,CT,6410
"LAW OFFICES OF JACQUELINE F. BARBARA, LLC",1117729,JACQUELINE F. BARBARA,ATTORNEY JACQUELINE F. BARBARA,09/03/2013,Dissolved,Domestic Limited Liability Company,375 CORAM AVENUE,SHELTON,CT,6484
"LAW OFFICES OF JAMES A. CUDDY, LLC",1035632,"JAMES A. CUDDY, JR.",JAMES A. CUDDY JR.,04/21/2011,Active,Domestic Limited Liability Company,"525 BRIDGEPORT AVENUE, SUITE 201",SHELTON,CT,6484
"LAW OFFICES OF JAMES E. ROSENBLUTH, LLC",728411,JAMES E. ROSENBLUTH,JAMES E. ROSENBLUTH,10/10/2002,Dissolved,Domestic Limited Liability Company,205 CHURCH STREET,NEW HAVEN,CT,6510
"LAW OFFICES OF JAMES F. ASPELL, P. C.",873224,"ELLEN M. ASPELL, JAMES F. ASPELL",JAMES F. ASPELL,09/19/2006,Active,Domestic Stock Corporation,53 HARVEST LANE,WEST HARTFORD,CT,6117
"LAW OFFICES OF JAMES F. KANE, LLC",951521,JAMES F. KANE,JAMES F. KANE,10/01/2008,Active,Domestic Limited Liability Company,"JAMES F. KANE, ONE LIBERTY SQUARE",NEW BRITAIN,CT,6051
"LAW OFFICES OF JAMES J. CALLAGHAN, LLC",645947,JAMES J. CALLAGHAN,JAMES J CALLAGHAN,03/14/2000,Active,Domestic Limited Liability Company,"530 SILAS DEANE HWY, STE 201, SUITE 201",WETHERSFIELD,CT,6109
"LAW OFFICES OF JAMES J. REARDON, JR., LLC",1071839,"JAMES J. REARDON, JR.","LAW OFFICES OF GARRETT S. FLYNN, LLC",05/14/2012,Dissolved,Domestic Limited Liability Company,23 MOUNTAIN TERRACE RD,WEST HARTFORD,CT,6107
"LAW OFFICES OF JAMES K. KELLEY & ASSOCIATES, LLC",1175550,JAMES K. KELLEY,JAMES K. KELLEY,04/27/2015,Active,Domestic Limited Liability Company,"65, BUNNY LANE, BUNNY LANE",BROOKLYN,CT,6234
"LAW OFFICES OF JAMES L. RAPAPORT, P.C.",303839,JAMES L. RAPAPORT,JAMES L. RAPAPORT,11/08/1994,Active,Domestic Stock Corporation,"733 SUMMER STREET, SUITE 505",STAMFORD,CT,6901
"LAW OFFICES OF JAMES M. LAMONTAGNE, L.L.C.",626038,JAMES M. LAMONTAGNE,LORI AMICK,07/20/1999,Dissolved,Domestic Limited Liability Company,68 MAIN STREET,DANBURY,CT,6810
